name,busNumber,startTime_iso,startTime_unix,endTime_iso,endTime_unix,drivenDistance,busRoute,energyConsumption,itcs_numberOfPassengers_mean,itcs_numberOfPassengers_min,itcs_numberOfPassengers_max,status_gridIsAvailable_mean,temperature_ambient_mean,temperature_ambient_min,temperature_ambient_max
"B183_2019-04-30_03-18-56_2019-04-30_08-44-20",183,"2019-04-30T03:18:56Z",1556594336,"2019-04-30T08:44:20Z",1556613860,77213.87,"-",4.785852e+08,5.53886,0,20,0.7406402,282.378,281.15,293.15
"B183_2019-04-30_13-22-07_2019-04-30_17-54-02",183,"2019-04-30T13:22:07Z",1556630527,"2019-04-30T17:54:02Z",1556646842,59029.6,"31",4.022585e+08,33.11458,4,74,0.8552341,287.5443,285.15,293.15
"B183_2019-05-01_05-58-51_2019-05-01_22-32-30",183,"2019-05-01T05:58:51Z",1556690331,"2019-05-01T22:32:30Z",1556749950,240900.4,"33",1.445733e+09,19.68914,0,55,0.7778598,288.749,280.15,294.15
"B183_2019-05-03_02-50-21_2019-05-03_05-53-20",183,"2019-05-03T02:50:21Z",1556851821,"2019-05-03T05:53:20Z",1556862800,42565.48,"-",2.819867e+08,1.685185,0,8,0.767122,282.4129,281.15,292.15
"B183_2019-05-03_15-41-57_2019-05-03_23-06-24",183,"2019-05-03T15:41:57Z",1556898117,"2019-05-03T23:06:24Z",1556924784,125277.2,"72",6.207258e+08,23.75357,1,67,0.9073421,284.7325,282.15,287.15
"B183_2019-05-05_07-41-02_2019-05-05_23-20-07",183,"2019-05-05T07:41:02Z",1557042062,"2019-05-05T23:20:07Z",1557098407,283206.9,"46",1.6617e+09,16.49925,0,74,0.9977461,280.1668,277.15,291.15
"B183_2019-05-06_03-10-43_2019-05-06_19-20-34",183,"2019-05-06T03:10:43Z",1557112243,"2019-05-06T19:20:34Z",1557170434,224131.6,"31",1.388008e+09,28.03509,0,83,0.8710304,282.2435,277.15,291.15
"B183_2019-05-08_02-54-58_2019-05-08_23-00-52",183,"2019-05-08T02:54:58Z",1557284098,"2019-05-08T23:00:52Z",1557356452,319921.1,"72",2.066102e+09,29.73248,0,121,0.8253887,283.4983,279.15,293.15
"B183_2019-05-09_03-20-44_2019-05-09_22-52-12",183,"2019-05-09T03:20:44Z",1557372044,"2019-05-09T22:52:12Z",1557442332,314638,"33",1.824347e+09,21.71603,0,84,0.8000256,286.1928,280.15,291.15
"B183_2019-05-10_03-16-11_2019-05-10_18-51-37",183,"2019-05-10T03:16:11Z",1557458171,"2019-05-10T18:51:37Z",1557514297,210577,"-",1.303391e+09,8.230483,0,43,0.7409268,287.5623,282.15,293.15
"B183_2019-05-13_03-10-23_2019-05-13_23-16-13",183,"2019-05-13T03:10:23Z",1557717023,"2019-05-13T23:16:13Z",1557789373,267033.8,"-",1.647432e+09,7.891652,0,45,0.8041907,284.6764,280.15,293.15
"B183_2019-05-14_03-33-11_2019-05-14_12-48-45",183,"2019-05-14T03:33:11Z",1557804791,"2019-05-14T12:48:45Z",1557838125,142201.8,"33",8.403679e+08,28.50301,0,106,0.79997,285.0465,280.15,293.15
"B183_2019-05-14_13-58-18_2019-05-14_21-04-54",183,"2019-05-14T13:58:18Z",1557842298,"2019-05-14T21:04:54Z",1557867894,114514,"32",6.648966e+08,28.03162,0,75,0.970856,287.0311,283.15,293.15
"B183_2019-05-15_03-04-56_2019-05-15_06-58-44",183,"2019-05-15T03:04:56Z",1557889496,"2019-05-15T06:58:44Z",1557903524,70245.95,"46",4.22022e+08,15.50625,0,51,0.9926581,280.7024,279.15,292.947
"B183_2019-05-15_13-31-00_2019-05-15_22-29-33",183,"2019-05-15T13:31:00Z",1557927060,"2019-05-15T22:29:33Z",1557959373,138290.3,"33",8.138139e+08,22.72191,0,66,0.731293,285.7026,282.15,294.15
"B183_2019-05-18_07-41-27_2019-05-18_23-02-16",183,"2019-05-18T07:41:27Z",1558165287,"2019-05-18T23:02:16Z",1558220536,258357.1,"72",1.391654e+09,27.87457,0,80,0.8718371,290.6869,283.15,294.15
"B183_2019-05-20_03-07-29_2019-05-20_17-27-37",183,"2019-05-20T03:07:29Z",1558321649,"2019-05-20T17:27:37Z",1558373257,223025.4,"72",1.393458e+09,29.88211,1,103,0.904319,285.8974,283.15,293.15
"B183_2019-05-21_03-41-23_2019-05-21_22-45-31",183,"2019-05-21T03:41:23Z",1558410083,"2019-05-21T22:45:31Z",1558478731,305475,"72",1.800517e+09,28.3836,1,96,0.920465,286.368,285.15,291.15
"B183_2019-05-22_02-58-32_2019-05-22_23-02-32",183,"2019-05-22T02:58:32Z",1558493912,"2019-05-22T23:02:32Z",1558566152,320550.7,"72",1.850599e+09,27.70149,0,99,0.8985341,290.8597,286.15,296.15
"B183_2019-05-24_02-52-47_2019-05-24_22-35-11",183,"2019-05-24T02:52:47Z",1558666367,"2019-05-24T22:35:11Z",1558737311,263432.6,"-",1.448057e+09,7.520249,0,44,0.7610684,293.144,283.15,299.15
"B183_2019-05-25_05-29-18_2019-05-25_22-39-32",183,"2019-05-25T05:29:18Z",1558762158,"2019-05-25T22:39:32Z",1558823972,283566.9,"72",1.528319e+09,29.9584,1,102,0.9049422,290.4576,287.15,295.15
"B183_2019-05-27_03-43-52_2019-05-27_17-30-04",183,"2019-05-27T03:43:52Z",1558928632,"2019-05-27T17:30:04Z",1558978204,238730.2,"46",1.242208e+09,19.94086,0,57,0.9910435,293.4434,287.15,297.15
"B183_2019-05-28_02-46-01_2019-05-28_23-06-05",183,"2019-05-28T02:46:01Z",1559011561,"2019-05-28T23:06:05Z",1559084765,323771,"72",1.813355e+09,25.24171,0,88,0.9176286,287.0491,283.15,293.15
"B183_2019-05-29_03-28-27_2019-05-29_21-17-08",183,"2019-05-29T03:28:27Z",1559100507,"2019-05-29T21:17:08Z",1559164628,287316.9,"72",1.62656e+09,28.34112,2,85,0.9053055,286.7505,283.15,292.15
"B183_2019-05-31_04-01-06_2019-05-31_22-58-46",183,"2019-05-31T04:01:06Z",1559275266,"2019-05-31T22:58:46Z",1559343526,328017.4,"46",1.743779e+09,17.14062,0,51,0.9881485,294.2325,286.15,300.15
"B183_2019-06-01_05-05-41_2019-06-01_15-15-16",183,"2019-06-01T05:05:41Z",1559365541,"2019-06-01T15:15:16Z",1559402116,132710.7,"-",8.370118e+08,6.70922,0,21,0.8576663,296.6994,288.15,303.15
"B183_2019-06-01_15-19-38_2019-06-01_23-12-03",183,"2019-06-01T15:19:38Z",1559402378,"2019-06-01T23:12:03Z",1559430723,104331.1,"-",5.065605e+08,6.402878,0,27,0.7302265,297.3314,292.15,302.15
"B183_2019-06-03_02-51-59_2019-06-03_07-11-27",183,"2019-06-03T02:51:59Z",1559530319,"2019-06-03T07:11:27Z",1559545887,80025.12,"46",3.734148e+08,17.71428,0,55,0.9759779,292.4497,289.15,296.15
"B183_2019-06-03_13-30-19_2019-06-03_18-31-21",183,"2019-06-03T13:30:19Z",1559568619,"2019-06-03T18:31:21Z",1559586681,74676.59,"72",4.132938e+08,26.61111,2,81,0.9089852,299.3386,298.15,300.15
"B183_2019-06-04_02-55-46_2019-06-04_10-12-55",183,"2019-06-04T02:55:46Z",1559616946,"2019-06-04T10:12:55Z",1559643175,115737.7,"72",7.10036e+08,25.10569,2,85,0.9203584,295.3301,291.15,302.15
"B183_2019-06-05_02-50-33_2019-06-05_07-16-12",183,"2019-06-05T02:50:33Z",1559703033,"2019-06-05T07:16:12Z",1559718972,79984.18,"46",3.796225e+08,13.29762,0,53,0.9664994,294.0063,292.15,297.15
"B183_2019-06-18_14-01-09_2019-06-18_17-19-46",183,"2019-06-18T14:01:09Z",1560866469,"2019-06-18T17:19:46Z",1560878386,48717.5,"46",3.102398e+08,20.47788,0,75,0.9442021,301.0499,298.15,302.15
"B183_2019-06-19_03-03-04_2019-06-19_21-24-53",183,"2019-06-19T03:03:04Z",1560913384,"2019-06-19T21:24:53Z",1560979493,290781.4,"33",1.827269e+09,20.20026,0,101,0.5851611,299.802,291.15,305.15
"B183_2019-06-20_03-22-43_2019-06-20_22-59-04",183,"2019-06-20T03:22:43Z",1561000963,"2019-06-20T22:59:04Z",1561071544,306234.8,"33",1.989802e+09,18.85417,1,86,0.68849,293.8456,289.15,299.15
"B183_2019-06-21_02-54-48_2019-06-21_22-37-37",183,"2019-06-21T02:54:48Z",1561085688,"2019-06-21T22:37:37Z",1561156657,256945.6,"-",1.603927e+09,7.90981,0,35,0.7663801,294.5689,288.4197,299.15
"B183_2019-06-22_07-41-10_2019-06-22_23-07-08",183,"2019-06-22T07:41:10Z",1561189270,"2019-06-22T23:07:08Z",1561244828,252587.3,"72",1.439192e+09,25.63993,1,67,0.9063878,292.8451,291.15,296.15
"B183_2019-06-24_03-16-13_2019-06-24_18-54-06",183,"2019-06-24T03:16:13Z",1561346173,"2019-06-24T18:54:06Z",1561402446,205184.9,"-",1.462189e+09,9.739464,0,39,0.7831503,300.0062,291.575,306.15
"B183_2019-06-25_03-22-22_2019-06-25_22-24-45",183,"2019-06-25T03:22:22Z",1561432942,"2019-06-25T22:24:45Z",1561501485,243475.2,"-",1.733085e+09,9.943307,0,49,0.8048699,301.8046,293.15,308.15
"B183_2019-06-26_02-52-08_2019-06-26_12-11-06",183,"2019-06-26T02:52:08Z",1561517528,"2019-06-26T12:11:06Z",1561551066,143812.2,"72",8.679894e+08,25.61585,0,82,0.8817198,301.2022,295.15,309.15
"B183_2019-06-27_13-43-04_2019-06-27_18-16-16",183,"2019-06-27T13:43:04Z",1561642984,"2019-06-27T18:16:16Z",1561659376,71492.45,"46",4.865992e+08,21.08982,1,50,0.9812115,307.5008,301.15,309.15
"B183_2019-06-28_03-22-14_2019-06-28_07-28-06",183,"2019-06-28T03:22:14Z",1561692134,"2019-06-28T07:28:06Z",1561706886,56504.84,"72",3.405948e+08,26.17886,1,63,0.5859825,298.1228,297.15,301.15
"B183_2019-06-29_03-03-47_2019-06-29_17-34-51",183,"2019-06-29T03:03:47Z",1561777427,"2019-06-29T17:34:51Z",1561829691,227439.8,"33",1.519582e+09,17.27961,0,65,0.7942983,301.6316,293.15,308.15
"B183_2019-07-03_02-38-00_2019-07-03_21-23-14",183,"2019-07-03T02:38:00Z",1562121480,"2019-07-03T21:23:14Z",1562188994,290511.8,"33",1.731595e+09,21.23385,0,72,0.8270014,298.1943,292.15,303.15
"B183_2019-07-04_04-09-12_2019-07-04_18-53-09",183,"2019-07-04T04:09:12Z",1562213352,"2019-07-04T18:53:09Z",1562266389,226028.5,"72",1.420202e+09,26.79961,0,96,0.9082527,299.1689,292.15,304.15
"B183_2019-07-07_01-27-19_2019-07-07_23-01-12",183,"2019-07-07T01:27:19Z",1562462839,"2019-07-07T23:01:12Z",1562540472,306459.8,"72",1.747909e+09,20.38359,1,64,0.7852745,296.7619,289.15,302.15
"B183_2019-07-08_03-29-50_2019-07-08_22-48-30",183,"2019-07-08T03:29:50Z",1562556590,"2019-07-08T22:48:30Z",1562626110,306600.2,"33",1.786485e+09,19.4798,0,76,0.8331439,295.5959,292.15,299.15
"B183_2019-07-11_14-01-11_2019-07-11_17-04-44",183,"2019-07-11T14:01:11Z",1562853671,"2019-07-11T17:04:44Z",1562864684,48884.36,"46",3.029932e+08,18.61947,0,57,0.9596877,292.8419,291.15,297.15
"B183_2019-07-12_03-42-45_2019-07-12_23-08-47",183,"2019-07-12T03:42:45Z",1562902965,"2019-07-12T23:08:47Z",1562972927,306806.2,"72",1.703977e+09,27.12482,1,75,0.8207052,294.9355,289.15,298.659
"B183_2019-07-13_07-23-35_2019-07-13_22-34-05",183,"2019-07-13T07:23:35Z",1563002615,"2019-07-13T22:34:05Z",1563057245,195649.5,"-",1.152757e+09,5.798,0,29,0.773645,296.0063,292.15,299.15
"B183_2019-07-14_03-13-29_2019-07-14_22-54-48",183,"2019-07-14T03:13:29Z",1563074009,"2019-07-14T22:54:48Z",1563144888,296283.8,"33",1.693049e+09,13.4084,0,50,0.6707816,294.1076,287.15,300.15
"B183_2019-07-15_03-28-58_2019-07-15_23-11-09",183,"2019-07-15T03:28:58Z",1563161338,"2019-07-15T23:11:09Z",1563232269,306010,"33",1.712854e+09,13.7,0,61,0.8303164,293.9651,288.15,300.15
"B183_2019-07-16_13-01-22_2019-07-16_22-38-30",183,"2019-07-16T13:01:22Z",1563282082,"2019-07-16T22:38:30Z",1563316710,146179.3,"33",8.455221e+08,15.08483,0,52,0.8735453,298.8303,292.15,303.15
"B183_2019-07-17_03-34-56_2019-07-17_13-13-28",183,"2019-07-17T03:34:56Z",1563334496,"2019-07-17T13:13:28Z",1563369208,160508.4,"46",8.681925e+08,17.28385,0,51,0.9664669,295.9848,288.15,302.15
"B183_2019-07-19_02-54-24_2019-07-19_21-39-00",183,"2019-07-19T02:54:24Z",1563504864,"2019-07-19T21:39:00Z",1563572340,298612.4,"72",1.722466e+09,23.46637,0,62,0.9052863,299.3368,293.15,304.15
"B183_2019-07-24_02-51-19_2019-07-24_17-15-53",183,"2019-07-24T02:51:19Z",1563936679,"2019-07-24T17:15:53Z",1563988553,219906.7,"33",1.447646e+09,16,0,60,0.8537446,303.602,295.15,311.15
"B183_2019-07-25_04-05-46_2019-07-25_15-51-48",183,"2019-07-25T04:05:46Z",1564027546,"2019-07-25T15:51:48Z",1564069908,196683.2,"46",1.184342e+09,14.74153,0,54,1,303.8914,295.15,310.15
"B183_2019-07-26_03-53-35_2019-07-26_07-11-31",183,"2019-07-26T03:53:35Z",1564113215,"2019-07-26T07:11:31Z",1564125091,54213.01,"46",2.881405e+08,12.504,0,53,0.9621958,299.6225,298.15,302.15
"B183_2019-07-26_13-08-39_2019-07-26_23-03-57",183,"2019-07-26T13:08:39Z",1564146519,"2019-07-26T23:03:57Z",1564182237,154981.7,"72",9.276068e+08,18.88169,0,57,0.8948179,303.205,296.15,309.15
"B183_2019-07-27_07-56-20_2019-07-27_22-37-20",183,"2019-07-27T07:56:20Z",1564214180,"2019-07-27T22:37:20Z",1564267040,244046.7,"72",1.289137e+09,21.60182,0,59,0.9150413,297.5469,292.15,303.15
"B183_2019-07-29_03-07-49_2019-07-29_17-48-21",183,"2019-07-29T03:07:49Z",1564369669,"2019-07-29T17:48:21Z",1564422501,227161.5,"33",1.333694e+09,13.45508,0,47,0.8697216,295.6581,291.15,300.15
"B183_2019-07-30_03-19-16_2019-07-30_20-57-59",183,"2019-07-30T03:19:16Z",1564456756,"2019-07-30T20:57:59Z",1564520279,271725.2,"33",1.633569e+09,14.96691,0,55,0.8575656,298.6297,292.15,304.15
"B183_2019-07-31_02-57-04_2019-07-31_23-04-20",183,"2019-07-31T02:57:04Z",1564541824,"2019-07-31T23:04:20Z",1564614260,315477.8,"72",1.77092e+09,22.20675,0,63,0.9090106,295.0787,291.15,299.15
"B183_2019-08-02_03-36-56_2019-08-02_23-11-48",183,"2019-08-02T03:36:56Z",1564717016,"2019-08-02T23:11:48Z",1564787508,306616.1,"72",1.612366e+09,18.8284,0,54,0.8489496,294.6874,292.15,299.15
"B183_2019-08-03_02-51-49_2019-08-03_22-55-16",183,"2019-08-03T02:51:49Z",1564800709,"2019-08-03T22:55:16Z",1564872916,349627.8,"46",1.830098e+09,12.38305,0,44,0.9969671,296.4611,289.15,302.15
"B183_2019-08-04_02-51-16_2019-08-04_18-42-57",183,"2019-08-04T02:51:16Z",1564887076,"2019-08-04T18:42:57Z",1564944177,236616.3,"33",1.370527e+09,12.27215,0,39,0.8518791,297.8463,289.15,303.6695
"B183_2019-08-05_02-53-48_2019-08-05_22-52-08",183,"2019-08-05T02:53:48Z",1564973628,"2019-08-05T22:52:08Z",1565045528,312608.8,"33",1.758383e+09,13.97613,0,61,0.8261638,299.866,293.15,306.15
"B183_2019-08-06_03-41-32_2019-08-06_07-12-13",183,"2019-08-06T03:41:32Z",1565062892,"2019-08-06T07:12:13Z",1565075533,54298,"46",3.214318e+08,16.736,1,49,0.9640089,292.9389,291.15,297.15
"B183_2019-08-06_10-45-29_2019-08-06_17-31-09",183,"2019-08-06T10:45:29Z",1565088329,"2019-08-06T17:31:09Z",1565112669,101582.5,"72",5.960343e+08,26.93607,3,79,0.9097819,297.0731,294.15,299.15
"B183_2019-08-07_02-50-33_2019-08-07_22-56-29",183,"2019-08-07T02:50:33Z",1565146233,"2019-08-07T22:56:29Z",1565218589,313214.8,"33",1.817593e+09,13.62035,0,54,0.8793344,293.4377,291.15,296.15
